player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
John Amaechi,1996,2003,,6-10,270,"November 26, 1970","Vanderbilt, Penn State",Career,,,NBA,294,93,16.4,2.3,5.6,.403,0.0,0.0,.077,2.3,5.6,.405,.403,1.7,2.6,.671,0.8,1.8,2.6,0.8,0.3,0.3,1.3,1.7,6.2
Ashraf Amaya,1996,1997,,6-8,230,"November 23, 1971",Southern Illinois,Career,,,NBA,85,34,14.7,1.6,3.4,.455,0.0,0.0,.500,1.6,3.4,.455,.457,1.3,2.1,.633,1.6,2.6,4.2,0.4,0.3,0.2,0.8,2.1,4.5
Al-Farouq Aminu,2011,2021,,6-8,220,"September 21, 1990",Wake Forest,Career,,,NBA,711,445,24.9,2.7,6.5,.420,0.8,2.3,.332,2.0,4.2,.467,.478,1.3,1.7,.746,1.4,4.6,6.0,1.2,1.0,0.6,1.2,1.8,7.5
Lou Amundson,2007,2016,,6-9,220,"December 7, 1982",UNLV,Career,,,NBA,428,42,12.9,1.5,3.2,.474,0.0,0.0,.000,1.5,3.2,.475,.474,0.6,1.4,.444,1.5,2.1,3.6,0.4,0.4,0.7,0.7,2.0,3.7
Bob Anderegg,1960,1960,,6-3,200,"August 24, 1937",Michigan State,Career,,,NBA,33,,11.3,1.7,4.3,.385,,,,,,,,0.7,1.3,.548,,,2.1,0.9,,,,1.0,4.0
Chris Andersen,2002,2017,,6-10,245,"July 7, 1978",Blinn College,Career,,,NBA,695,45,17.7,1.9,3.6,.532,0.0,0.1,.221,1.9,3.5,.541,.535,1.5,2.3,.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4
David Andersen,2010,2011,,6-11,245,"June 23, 1980",,Career,,,NBA,103,0,12.3,2.0,4.5,.440,0.3,1.0,.347,1.6,3.5,.467,.478,0.6,0.9,.674,0.7,2.1,2.8,0.6,0.2,0.2,0.6,1.5,4.9
Alan Anderson,2006,2017,,6-6,220,"October 16, 1982",Michigan State,Career,,,NBA,330,66,20.6,2.6,6.3,.405,1.0,2.9,.344,1.6,3.4,.457,.484,1.2,1.5,.816,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3
Andrew Anderson,1968,1970,,6-2,184,"July 6, 1945",Canisius,Career,,,ABA,194,,24.7,4.1,10.1,.410,0.1,0.3,.159,4.1,9.8,.418,.413,2.4,3.2,.755,1.6,1.4,2.7,1.7,,,1.6,2.4,10.7
Antonio Anderson,2010,2010,,6-6,215,"June 5, 1985",Memphis,Career,,,NBA,1,0,15.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
Cliff Anderson,1968,1971,,6-2,200,"September 7, 1944",Saint Joseph's,Career,,,TOT,84,,7.2,0.9,2.5,.354,0.0,0.0,,0.9,2.5,.354,.354,1.3,2.2,.585,0.3,1.0,1.3,0.9,,,1.0,1.3,3.0
Dan Anderson,1968,1969,,6-10,230,"February 15, 1943",Augsburg College,Career,,,ABA,140,,28.8,4.9,10.2,.481,0.0,0.0,,4.9,10.2,.481,.481,2.4,3.4,.727,3.5,5.9,9.4,1.1,,,1.5,3.6,12.2
Dan Anderson,1975,1976,,6-2,185,"January 1, 1951",USC,Career,,,NBA,95,,11.2,1.4,3.0,.472,,,,,,,,0.8,1.0,.846,0.2,0.7,1.0,1.7,0.4,0.0,,1.1,3.7
Derek Anderson,1998,2008,,6-5,194,"July 18, 1974","Ohio State, Kentucky",Career,,,NBA,615,390,29.2,3.9,9.6,.408,1.0,3.1,.341,2.9,6.6,.440,.463,3.0,3.6,.853,0.7,2.5,3.2,3.4,1.1,0.1,1.7,2.0,12.0
Dwight Anderson,1983,1983,,6-3,185,"December 28, 1960","Kentucky, USC",Career,,,NBA,5,0,6.6,1.4,2.8,.500,0.0,0.0,,1.4,2.8,.500,.500,1.4,2.0,.700,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2
Eric Anderson,1993,1994,,6-9,220,"May 26, 1970",Indiana,Career,,,NBA,27,0,3.1,0.4,1.3,.343,0.1,0.1,1.000,0.4,1.2,.303,.371,0.6,1.0,.593,0.4,0.7,1.1,0.2,0.1,0.1,0.3,0.9,1.6
Greg Anderson,1988,1998,,6-10,230,"June 22, 1964",Houston,Career,,,NBA,680,315,20.6,3.0,6.0,.492,0.0,0.0,.087,3.0,6.0,.494,.492,1.4,2.5,.557,2.1,4.1,6.2,0.6,0.7,0.9,1.4,2.6,7.3
