Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM
Ed Davis,9.733333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,,0.0,49.3,25.6,0.0,0.0,0.0,,0.0,0.0,117.0,-7.4
Shabazz Napier,3.8833333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.3,0.0,127.0,-21.9
Bradley Beal,38.5,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,12.0,23.0,0.522,4.0,10.0,0.4,1.0,2.0,0.5,1.0,10.0,11.0,6.0,2.0,1.0,3.0,2.0,29.0,-11.0,0.607,0.609,0.435,0.087,2.7,23.5,13.9,35.6,2.5,2.1,11.2,29.1,116.0,101.0,12.4
Tomáš Satoranský,36.516666666666666,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,6.0,12.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,2.0,3.0,15.0,-13.0,0.603,0.583,0.417,0.083,2.9,9.9,6.6,23.4,1.3,0.0,13.9,16.5,117.0,109.0,1.3
Trevor Ariza,34.666666666666664,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,2.0,10.0,0.2,0.0,5.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,2.0,0.0,1.0,5.0,2.0,6.0,-20.0,0.276,0.2,0.5,0.2,6.0,10.4,8.4,8.3,0.0,2.3,31.5,19.1,53.0,110.0,-13.3
Jeff Green,32.68333333333333,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,4.0,9.0,0.444,2.0,7.0,0.286,5.0,6.0,0.833,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,15.0,-15.0,0.644,0.556,0.778,0.667,0.0,11.1,5.9,0.0,1.5,2.5,0.0,14.8,137.0,107.0,4.3
Bobby Portis,27.716666666666665,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,2.0,8.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,3.0,8.0,11.0,0.0,0.0,0.0,3.0,5.0,7.0,-14.0,0.359,0.25,0.125,0.5,11.3,26.1,19.2,0.0,0.0,0.0,23.5,19.2,69.0,107.0,-13.5
Jabari Parker,22.3,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,5.0,10.0,0.5,1.0,3.0,0.333,1.0,3.0,0.333,2.0,3.0,5.0,4.0,0.0,0.0,4.0,2.0,12.0,4.0,0.53,0.55,0.3,0.3,9.4,12.2,10.9,34.1,0.0,0.0,26.1,28.6,90.0,111.0,-1.2
Thomas Bryant,16.383333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,2.0,5.0,7.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.333,0.333,0.333,0.0,12.7,27.6,20.7,8.9,2.9,9.9,0.0,7.6,108.0,93.0,4.1
Troy Brown,13.35,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,3.0,7.0,0.429,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,7.0,8.0,0.47,0.429,0.143,0.143,0.0,27.1,14.5,14.3,3.6,6.1,0.0,23.2,105.0,95.0,8.2
Chasson Randle,9.35,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,8.9,0.0,104.0,-9.0
Wesley Johnson,8.533333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.3,0.3,0.8,0.0,0.0,0.0,0.0,18.5,0.0,0.0,16.7,29.3,61.0,114.0,-15.4
Kyrie Irving,33.5,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,6.0,15.0,0.4,1.0,3.0,0.333,0.0,0.0,,0.0,6.0,6.0,12.0,0.0,0.0,1.0,5.0,13.0,11.0,0.433,0.433,0.2,0.0,0.0,18.7,8.7,51.5,0.0,0.0,6.3,20.2,110.0,100.0,0.5
Jayson Tatum,31.3,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,4.0,13.0,0.308,0.0,5.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,3.0,5.0,0.0,4.0,2.0,10.0,20.0,0.36,0.308,0.385,0.154,5.8,20.0,12.4,12.8,7.6,0.0,22.4,24.2,71.0,83.0,-1.9
Marcus Smart,30.466666666666665,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,6.0,7.0,0.857,4.0,4.0,1.0,0.0,0.0,,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,16.0,11.0,1.143,1.143,0.571,0.0,3.0,3.4,3.2,0.0,3.1,0.0,12.5,11.1,175.0,98.0,9.8
Al Horford,29.2,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,7.0,11.0,0.636,0.0,0.0,,4.0,5.0,0.8,1.0,5.0,6.0,3.0,1.0,1.0,0.0,1.0,18.0,19.0,0.682,0.636,0.0,0.455,3.1,17.9,10.0,16.2,1.6,3.2,0.0,19.1,146.0,95.0,10.3
Marcus Morris,27.433333333333334,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,7.0,17.0,0.412,3.0,11.0,0.273,0.0,2.0,0.0,2.0,7.0,9.0,0.0,0.0,1.0,1.0,1.0,17.0,3.0,0.475,0.5,0.647,0.118,6.6,26.6,15.9,0.0,0.0,3.4,5.3,29.1,91.0,96.0,-0.9
Jaylen Brown,26.75,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,4.0,13.0,0.308,1.0,6.0,0.167,4.0,4.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,13.0,1.0,0.44,0.346,0.462,0.308,0.0,11.7,5.4,5.2,0.0,0.0,6.3,24.9,89.0,103.0,-5.9
Gordon Hayward,24.15,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,1.0,3.0,4.0,4.0,0.0,1.0,3.0,2.0,3.0,1.0,0.399,0.0,0.5,2.0,3.8,13.0,8.0,18.9,0.0,3.9,44.4,11.8,77.0,100.0,-6.1
Terry Rozier,18.4,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,,1.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,6.0,-3.0,0.429,0.429,0.286,0.0,4.9,11.3,7.9,15.3,5.2,0.0,12.5,18.4,90.0,91.0,-0.1
Daniel Theis,18.05,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,5.0,9.0,0.556,1.0,3.0,0.333,0.0,0.0,,3.0,2.0,5.0,1.0,2.0,0.0,0.0,3.0,11.0,-6.0,0.611,0.611,0.333,0.0,15.1,11.6,13.4,9.3,5.3,0.0,0.0,21.1,133.0,91.0,8.7
Robert Williams,0.75,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,107.0,-6.6
CJ McCollum,39.8,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,12.0,20.0,0.6,7.0,11.0,0.636,4.0,4.0,1.0,0.0,4.0,4.0,5.0,1.0,0.0,3.0,3.0,35.0,-5.0,0.804,0.775,0.55,0.2,0.0,13.8,6.5,21.9,1.2,0.0,12.1,26.9,143.0,121.0,11.6
