player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Michael Olowokandi,1999,2007,,7-0,269,"April 3, 1975",University of the Pacific,Career,,,NBA,500,393,26.3,3.6,8.2,.435,0.0,0.0,,3.6,8.2,.435,.435,1.1,1.9,.597,1.9,4.9,6.8,0.7,0.5,1.4,1.8,3.0,8.3
Bud Olsen,1963,1970,,6-8,220,"July 25, 1940",Louisville,Career,,,TOT,453,,12.3,1.8,4.1,.433,0.0,0.0,.250,1.8,4.1,.434,.433,0.7,1.3,.529,1.7,2.8,3.3,1.2,,,1.3,1.9,4.3
Kelly Olynyk,2014,2021,,6-11,240,"April 19, 1991",Gonzaga,Career,,,NBA,570,165,22.2,3.7,7.7,.478,1.2,3.3,.367,2.5,4.4,.561,.557,1.6,2.0,.783,1.2,3.9,5.1,2.0,0.8,0.5,1.5,2.8,10.1
Miye Oni,2020,2021,,6-5,206,"August 4, 1997",Yale,Career,,,NBA,64,1,9.8,0.7,2.0,.359,0.6,1.7,.346,0.2,0.4,.417,.500,0.1,0.2,.818,0.4,1.1,1.6,0.5,0.2,0.2,0.3,1.1,2.2
Arinze Onuaku,2014,2017,,6-9,255,"July 13, 1987",Syracuse,Career,,,NBA,19,1,6.6,0.8,1.2,.652,0.0,0.0,,0.8,1.2,.652,.652,0.2,0.5,.400,0.6,1.3,1.8,0.5,0.1,0.2,0.3,0.6,1.8
Chinanu Onuaku,2017,2018,,6-10,245,"November 1, 1996",Louisville,Career,,,NBA,6,1,12.3,1.2,2.0,.583,0.0,0.0,,1.2,2.0,.583,.583,0.7,0.7,1.000,0.5,1.8,2.3,0.7,0.5,0.2,1.2,1.7,3.0
Barry Orms,1969,1970,,6-3,190,"May 1, 1946",Saint Louis,Career,,,TOT,141,,21.3,2.5,6.7,.370,0.1,0.3,.192,2.4,6.5,.375,.372,1.3,2.4,.539,1.8,2.7,3.6,1.3,,,1.9,2.6,6.3
Johnny Orr,1950,1950,,6-3,195,"June 10, 1927",Beloit College,Career,,,NBA,34,,,1.2,3.5,.339,,,,,,,,0.4,0.4,.857,,,,0.6,,,,1.0,2.7
Louis Orr,1981,1988,,6-8,175,"May 7, 1958",Syracuse,Career,,,NBA,569,178,23.5,3.7,8.0,.468,0.0,0.1,.083,3.7,7.9,.471,.468,2.3,2.9,.787,1.6,2.1,3.7,1.5,0.8,0.3,1.4,2.0,9.7
José Ortiz,1989,1990,,6-10,225,"October 25, 1963",Oregon State,Career,,,NBA,64,15,6.1,1.2,2.6,.443,0.0,0.0,.333,1.1,2.6,.445,.446,0.5,0.9,.596,0.6,0.5,1.1,0.3,0.2,0.1,0.6,0.9,2.9
Daniel Orton,2012,2014,,6-10,255,"August 6, 1990",Kentucky,Career,,,NBA,51,6,10.6,1.0,2.0,.485,0.0,0.0,.000,1.0,2.0,.490,.485,0.8,1.4,.597,0.9,1.5,2.5,0.5,0.4,0.5,0.6,1.6,2.8
Chuck Osborne,1962,1962,,6-6,210,"January 21, 1939",Western Kentucky,Career,,,NBA,4,,5.3,0.3,2.0,.125,,,,,,,,0.8,1.0,.750,,,2.3,0.3,,,,0.8,1.3
Cedi Osman,2018,2021,,6-7,230,"April 8, 1995",,Career,,,NBA,261,178,25.0,3.6,8.5,.420,1.5,4.2,.347,2.1,4.3,.492,.507,1.2,1.6,.736,0.5,2.9,3.5,2.2,0.7,0.1,1.2,2.1,9.8
Wally Osterkorn,1952,1955,,6-5,215,"July 6, 1928",Illinois,Career,,,NBA,204,,25.4,2.2,6.7,.334,,,,,,,,2.6,4.4,.592,,,6.0,1.7,,,,2.9,7.0
Greg Ostertag,1996,2006,,7-2,280,"March 6, 1973",Kansas,Career,,,NBA,756,321,19.5,1.8,3.6,.486,0.0,0.0,.100,1.8,3.6,.487,.486,1.1,1.9,.569,2.0,3.5,5.5,0.6,0.3,1.7,0.9,2.5,4.6
Matt Othick,1993,1993,,6-2,165,"March 16, 1969",Arizona,Career,,,NBA,4,0,9.8,0.8,1.3,.600,0.5,1.0,.500,0.3,0.3,1.000,.800,0.0,0.5,.000,0.3,0.3,0.5,1.8,0.3,0.0,1.0,1.8,2.0
Don Otten,1950,1953,,6-10,240,"April 18, 1921",Bowling Green,Career,,,NBA,219,,24.7,3.0,8.4,.357,,,,,,,,4.4,5.8,.761,,,6.0,1.4,,,,3.6,10.5
Mac Otten,1950,1950,,6-7,220,"December 16, 1925",Bowling Green,Career,,,NBA,59,,,0.9,2.6,.329,,,,,,,,0.7,1.4,.494,,,,0.6,,,,2.0,2.4
Daniel Oturu,2021,2021,,6-8,240,"September 20, 1999",Minnesota,Career,,,NBA,30,0,5.4,0.7,1.7,.423,0.0,0.2,.200,0.7,1.6,.447,.433,0.3,0.4,.750,0.7,0.9,1.6,0.3,0.1,0.2,0.3,0.8,1.8
Kelly Oubre,2016,2021,,6-7,203,"December 9, 1995",Kansas,Career,,,NBA,403,149,25.0,4.1,9.5,.433,1.3,3.9,.326,2.9,5.6,.506,.499,2.0,2.6,.764,0.9,3.5,4.4,1.0,0.9,0.5,1.1,2.5,11.5
Bo Outlaw,1994,2008,,6-8,210,"April 13, 1971","South Plains College, Houston",Career,,,NBA,914,352,22.7,2.2,3.9,.567,0.0,0.0,.079,2.2,3.8,.573,.568,1.0,2.0,.521,1.8,3.0,4.9,1.6,0.9,1.3,1.2,2.4,5.4
Travis Outlaw,2004,2014,,6-9,210,"September 18, 1984",,Career,,,NBA,622,98,20.9,3.2,7.6,.423,0.6,1.6,.337,2.7,5.9,.447,.460,1.5,2.0,.744,0.8,2.4,3.2,0.8,0.5,0.6,0.8,1.7,8.5
Claude Overton,1953,1953,,6-2,195,"December 16, 1927",East Central University,Career,,,NBA,15,,12.1,1.3,5.0,.253,,,,,,,,1.3,2.0,.667,,,1.7,1.0,,,,1.7,3.9
Doug Overton,1993,2004,,6-3,190,"August 3, 1969",La Salle,Career,,,NBA,499,62,14.6,1.8,4.3,.412,0.2,0.7,.319,1.5,3.6,.430,.438,0.8,0.9,.816,0.3,1.0,1.3,2.1,0.4,0.0,0.9,1.2,4.5
Andre Owens,2006,2008,,6-4,200,"October 31, 1980","Indiana, Houston",Career,,,NBA,54,9,11.1,1.2,3.4,.370,0.4,1.0,.375,0.9,2.3,.368,.428,0.7,1.0,.712,0.4,0.8,1.3,1.0,0.3,0.1,0.7,1.1,3.6
Billy Owens,1992,2001,,6-8,220,"May 1, 1969",Syracuse,Career,,,NBA,600,475,29.4,4.8,9.9,.481,0.1,0.5,.291,4.7,9.5,.491,.488,2.0,3.2,.629,2.4,4.3,6.7,2.8,0.9,0.5,2.2,2.9,11.7
Chris Owens,2003,2003,,6-7,245,"March 1, 1979","Tulane, Texas",Career,,,NBA,1,0,6.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
Eddie Owens,1978,1978,,6-7,210,"December 26, 1953",UNLV,Career,,,NBA,8,,7.9,1.1,2.6,.429,,,,,,,,0.4,0.8,.500,0.6,0.6,1.3,0.6,0.1,0.0,0.4,1.1,2.6
Jim Owens,1974,1975,,6-5,200,"May 1, 1950",Arizona State,Career,,,NBA,58,,9.2,1.3,3.2,.418,,,,,,,,0.4,0.5,.767,0.1,0.8,0.9,1.1,0.4,0.0,,0.6,3.1
Keith Owens,1992,1992,,6-7,225,"May 31, 1969",UCLA,Career,,,NBA,20,0,4.0,0.5,1.6,.281,0.0,0.0,,0.5,1.6,.281,.281,0.4,0.5,.800,0.4,0.4,0.8,0.2,0.3,0.2,0.1,0.6,1.3
Larry Owens,2011,2012,,6-7,210,"January 8, 1983",Oral Roberts,Career,,,NBA,19,0,11.5,1.0,2.3,.442,0.4,0.9,.444,0.6,1.3,.440,.535,0.4,0.7,.538,0.2,1.3,1.5,0.6,0.5,0.3,0.4,1.5,2.8
Red Owens,1950,1952,,6-3,185,"September 2, 1925",Baylor,Career,,,NBA,90,,21.6,1.9,6.0,.313,,,,,,,,1.5,2.4,.614,,,3.5,1.5,,,,2.7,5.2
Tariq Owens,2020,2020,,6-10,205,"June 30, 1995","Tennessee, St. John's, Texas Tech",Career,,,NBA,3,0,5.0,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,.200,0.7,0.7,1.000,0.7,0.3,1.0,0.0,0.3,0.0,0.0,0.3,1.3
Tom Owens,1972,1983,,6-10,215,"June 28, 1949",South Carolina,Career,,,TOT,877,44,23.8,4.5,8.7,.513,0.0,0.0,.217,4.5,8.7,.514,.514,2.3,3.1,.743,2.5,4.3,6.8,1.7,0.5,0.6,1.9,3.3,11.3
Ray Owes,1997,1997,,6-9,224,"December 11, 1972",Arizona,Career,,,NBA,57,1,10.4,1.3,3.2,.417,0.0,0.1,.200,1.3,3.1,.423,.419,0.5,0.8,.565,1.1,1.7,2.9,0.3,0.3,0.4,0.4,1.5,3.1
Olumide Oyedeji,2001,2003,,6-10,240,"May 11, 1981",,Career,,,NBA,93,5,6.3,0.5,1.1,.495,0.0,0.0,,0.5,1.1,.495,.495,0.3,0.4,.659,0.7,1.5,2.1,0.1,0.2,0.2,0.3,1.1,1.4
