player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Guy Manning,1968,1969,,6-6,195,"February 4, 1944",Prairie View A&M University,Career,,,ABA,73,,17.5,3.2,8.2,.390,0.0,0.1,.250,3.2,8.1,.392,.392,1.9,3.2,.576,1.5,1.5,4.8,0.5,,,0.9,2.3,8.3
Rich Manning,1996,1997,,6-11,253,"June 23, 1970","Syracuse, Washington",Career,,,NBA,55,2,9.3,1.5,3.5,.415,0.0,0.1,.400,1.4,3.5,.416,.421,0.3,0.5,.643,0.6,1.1,1.7,0.2,0.1,0.1,0.4,1.2,3.3
Nico Mannion,2021,2021,,6-2,190,"March 14, 2001",Arizona,Career,,,NBA,30,1,12.1,1.3,3.8,.342,0.7,2.0,.367,0.6,1.8,.315,.439,0.8,0.9,.821,0.2,1.3,1.5,2.3,0.5,0.0,1.0,1.0,4.1
Pace Mannion,1984,1989,,6-7,190,"September 22, 1960",Utah,Career,,,NBA,216,4,9.8,1.2,2.9,.413,0.1,0.4,.203,1.1,2.5,.443,.425,0.6,0.9,.663,0.4,0.8,1.2,1.1,0.5,0.1,0.6,1.1,3.1
Nick Mantis,1960,1963,,6-3,190,"December 7, 1935",Northwestern,Career,,,NBA,52,,14.5,2.0,5.4,.367,,,,,,,,0.5,1.0,.549,,,1.8,1.8,,,,2.0,4.5
Pete Maravich*,1971,1980,,6-5,197,"June 22, 1947",LSU,Career,,,NBA,658,4,37.0,9.4,21.3,.441,0.2,0.3,.667,9.4,21.3,.441,.441,5.4,6.6,.820,1.0,3.3,4.2,5.4,1.4,0.3,3.7,2.8,24.2
Press Maravich,1947,1947,,6-0,185,"August 29, 1915",Davis & Elkins College,Career,,,BAA,51,,,2.0,7.4,.272,,,,,,,,0.6,1.1,.517,,,,0.1,,,,2.0,4.6
Devyn Marble,2015,2016,,6-6,200,"September 21, 1992",Iowa,Career,,,NBA,44,7,10.4,0.8,2.6,.304,0.3,1.2,.222,0.5,1.4,.377,.357,0.3,0.9,.375,0.3,1.3,1.6,0.7,0.5,0.1,0.4,0.9,2.2
Roy Marble,1990,1994,,6-6,190,"December 13, 1966",Iowa,Career,,,NBA,29,0,6.7,0.6,2.4,.257,0.0,0.1,.000,0.6,2.3,.265,.257,0.7,1.1,.594,0.6,0.5,1.1,0.4,0.2,0.1,0.6,0.6,1.9
Stephon Marbury,1997,2009,,6-2,180,"February 20, 1977",Georgia Tech,Career,,,NBA,846,816,37.7,6.8,15.7,.433,1.2,3.6,.325,5.6,12.1,.465,.470,4.5,5.7,.784,0.7,2.3,3.0,7.6,1.2,0.1,3.0,2.4,19.3
Šarūnas Marčiulionis*,1990,1997,,6-5,200,"June 13, 1964",,Career,,,NBA,363,30,22.4,4.3,8.6,.505,0.3,0.9,.369,4.0,7.6,.522,.526,3.8,4.9,.768,0.8,1.5,2.3,2.2,1.3,0.1,2.0,2.7,12.8
Saul Mariaschin,1948,1948,,5-11,165,"September 1, 1924",Harvard University,Career,,,BAA,43,,,2.9,10.8,.270,,,,,,,,1.9,2.7,.709,,,,1.4,,,,2.8,7.7
Jack Marin,1967,1977,,6-7,200,"October 12, 1944",Duke,Career,,,NBA,849,,29.0,6.0,12.8,.465,,,,,,,,2.8,3.4,.843,0.9,2.3,5.2,2.1,0.5,0.2,,2.8,14.8
Shawn Marion,2000,2015,,6-7,220,"May 7, 1978",UNLV,Career,,,NBA,1163,1062,34.5,6.3,12.9,.484,0.7,2.1,.331,5.6,10.9,.513,.510,2.0,2.5,.810,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2
Boban Marjanović,2016,2021,,7-4,290,"August 15, 1988",,Career,,,NBA,263,25,9.6,2.3,4.0,.572,0.0,0.1,.257,2.2,3.8,.583,.576,1.5,1.9,.774,1.4,2.6,4.0,0.5,0.2,0.3,0.7,1.2,6.0
Lauri Markkanen,2018,2021,,7-0,240,"May 22, 1997",Arizona,Career,,,NBA,221,195,29.5,5.5,12.5,.440,2.2,6.1,.366,3.3,6.4,.509,.529,2.3,2.7,.845,1.1,5.9,7.1,1.2,0.7,0.5,1.4,1.8,15.6
Damir Markota,2007,2007,,6-10,225,"December 26, 1985",,Career,,,NBA,30,0,5.7,0.6,1.7,.365,0.2,0.5,.375,0.4,1.2,.361,.423,0.2,0.4,.636,0.4,0.7,1.0,0.2,0.1,0.0,0.5,0.7,1.7
Sean Marks,1999,2011,,6-10,250,"August 23, 1975",California,Career,,,NBA,230,11,9.9,1.1,2.5,.448,0.0,0.1,.200,1.1,2.4,.459,.452,0.5,0.8,.665,0.7,1.5,2.2,0.2,0.1,0.4,0.5,1.5,2.8
Harvey Marlatt,1971,1973,,6-3,185,"August 26, 1948",Eastern Michigan,Career,,,NBA,61,,12.2,1.4,3.8,.373,,,,,,,,0.8,1.0,.850,,,1.4,1.5,,,,1.5,3.7
Jim Marsh,1972,1972,,6-7,215,"April 26, 1946",USC,Career,,,NBA,39,,9.6,1.0,3.0,.333,,,,,,,,1.1,1.5,.695,,,2.2,0.8,,,,1.3,3.1
Ricky Marsh,1978,1978,,6-3,200,"March 10, 1954",Manhattan College,Career,,,NBA,60,,14.2,2.1,4.8,.426,,,,,,,,0.4,0.6,.697,0.3,1.0,1.3,1.5,0.5,0.3,0.8,1.9,4.5
Donny Marshall,1996,2003,,6-7,230,"July 17, 1972",UConn,Career,,,NBA,119,0,7.7,0.7,2.3,.321,0.4,1.1,.336,0.4,1.2,.308,.399,0.6,0.9,.681,0.3,0.7,1.0,0.3,0.3,0.0,0.4,0.9,2.5
Donyell Marshall,1995,2009,,6-9,218,"May 18, 1973",UConn,Career,,,NBA,957,422,26.2,4.3,9.8,.435,0.9,2.7,.350,3.3,7.1,.468,.483,1.7,2.3,.731,2.0,4.7,6.7,1.4,0.8,0.9,1.4,2.3,11.2
Kendall Marshall,2013,2016,,6-4,200,"August 19, 1991",UNC,Career,,,NBA,160,57,19.3,2.0,4.9,.399,0.8,2.2,.370,1.2,2.8,.422,.480,0.3,0.5,.611,0.1,1.4,1.6,4.9,0.7,0.1,1.8,1.1,5.0
