Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Eric Bledsoe,30.983333333333334,6.0,14.0,0.429,1.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,7.0,2.0,0.0,0.0,3.0,3.0,16.0,-3.0,Starter,0.522,0.464,0.071,0.214,3.2,23.2,12.3,11.2,0.0,0.0,16.4,24.4,102.0,124.0,-3.8,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Matthews,30.25,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,,3.0,1.0,4.0,0.0,1.0,0.0,3.0,3.0,4.0,-4.0,Starter,0.25,0.25,0.25,0.0,9.9,4.0,7.2,0.0,1.7,0.0,27.3,15.0,56.0,123.0,-10.8,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Hill,25.8,5.0,9.0,0.556,2.0,4.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,14.0,-3.0,Reserve,0.709,0.667,0.444,0.222,3.9,9.3,6.3,6.7,1.9,0.0,9.2,17.4,141.0,122.0,7.2,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Williams,21.55,1.0,6.0,0.167,0.0,4.0,0.0,2.0,2.0,1.0,4.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,4.0,-5.0,Reserve,0.291,0.167,0.667,0.333,18.6,5.6,12.7,0.0,2.3,0.0,0.0,13.2,103.0,122.0,-4.1,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Connaughton,12.183333333333334,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,-19.0,Reserve,0.25,0.25,0.5,0.0,8.2,19.7,13.4,0.0,4.1,0.0,20.0,17.0,58.0,115.0,-6.5,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Korver,10.3,1.0,2.0,0.5,1.0,2.0,0.5,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,11.0,Reserve,0.904,0.75,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,202.0,128.0,7.8,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donte DiVincenzo,7.766666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,-10.0,Reserve,0.0,0.0,1.0,0.0,12.9,0.0,7.0,33.4,6.4,0.0,0.0,5.3,117.0,112.0,6.1,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shai Gilgeous-Alexander,40.516666666666666,6.0,11.0,0.545,3.0,4.0,0.75,4.0,4.0,1.0,0.0,3.0,3.0,4.0,2.0,0.0,3.0,2.0,19.0,-8.0,Starter,0.745,0.682,0.364,0.364,0.0,7.1,3.9,17.0,2.5,0.0,19.0,17.6,124.0,110.0,5.9,202009020HOU,2020-09-02 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Paul,39.86666666666667,5.0,11.0,0.455,3.0,6.0,0.5,6.0,6.0,1.0,0.0,11.0,11.0,12.0,2.0,0.0,6.0,2.0,19.0,-5.0,Starter,0.696,0.591,0.545,0.545,0.0,26.5,14.7,49.9,2.5,0.0,30.5,22.3,119.0,102.0,7.0,202009020HOU,2020-09-02 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luguentz Dort,34.75,10.0,21.0,0.476,6.0,12.0,0.5,4.0,6.0,0.667,2.0,2.0,4.0,1.0,0.0,1.0,4.0,5.0,30.0,0.0,Starter,0.635,0.619,0.571,0.286,6.9,5.5,6.1,6.5,0.0,3.5,14.5,35.9,105.0,114.0,2.1,202009020HOU,2020-09-02 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
