player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,pf_per_g,pts_per_g,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,orb_per_g,drb_per_g,stl_per_g,blk_per_g,tov_per_g
Brian Grant,1995,2006,,6-9,254,"March 5, 1972",Xavier,Career,,,NBA,756,577,28.3,4.1,8.4,.490,2.3,3.1,.746,7.4,1.2,3.2,10.5,0.0,0.0,.214,4.1,8.3,.491,.491,2.4,5.0,0.6,0.7,1.6
Bud Grant,1950,1951,,6-3,195,"May 20, 1927",Minnesota,Career,,,NBA,96,,,1.0,3.1,.318,0.6,1.0,.590,1.9,0.9,1.5,2.6,,,,,,,,,,,,
Gary Grant,1989,2001,,6-3,185,"April 21, 1965",Michigan,Career,,,NBA,552,231,22.8,3.4,7.5,.450,1.0,1.3,.776,2.3,5.5,2.2,7.9,0.2,0.6,.278,3.2,6.9,.466,.462,0.6,1.7,1.5,0.1,2.3
Greg Grant,1990,1996,,5-7,140,"August 29, 1966",Trenton State University,Career,,,NBA,274,5,12.2,1.1,3.0,.383,0.4,0.5,.710,0.9,2.7,1.0,2.8,0.1,0.5,.281,1.0,2.5,.405,.408,0.2,0.7,0.6,0.0,0.8
Harvey Grant,1989,1999,,6-8,195,"July 4, 1965","Clemson, Oklahoma",Career,,,NBA,783,439,26.2,4.3,9.1,.469,1.3,1.8,.709,4.4,1.6,2.3,9.9,0.1,0.3,.267,4.2,8.8,.476,.473,1.5,2.9,0.8,0.5,0.9
Horace Grant,1988,2004,,6-10,215,"July 4, 1965",Clemson,Career,,,NBA,1165,1037,33.2,4.7,9.2,.509,1.8,2.6,.692,8.1,2.2,2.4,11.2,0.0,0.1,.063,4.7,9.1,.511,.509,3.0,5.1,1.0,1.0,1.1
Jerami Grant,2015,2021,,6-8,210,"March 12, 1994",Syracuse,Career,,,NBA,508,223,25.5,3.7,8.1,.457,2.3,3.3,.705,3.9,1.3,2.3,10.7,1.0,2.8,.347,2.7,5.4,.513,.516,0.9,3.0,0.6,1.1,1.0
Jerian Grant,2016,2020,,6-4,205,"October 9, 1992",Notre Dame,Career,,,NBA,279,61,17.9,2.1,5.2,.411,1.2,1.5,.770,1.9,2.9,1.5,6.1,0.6,1.9,.323,1.5,3.2,.464,.472,0.3,1.6,0.7,0.1,1.0
Josh Grant,1994,1994,,6-9,223,"August 7, 1967",Utah,Career,,,NBA,53,0,7.2,1.1,2.8,.404,0.4,0.5,.759,1.7,0.5,1.2,3.0,0.3,1.2,.279,0.8,1.6,.494,.462,0.5,1.2,0.3,0.2,0.6
Paul Grant,1999,2004,,7-0,245,"January 6, 1974","Boston College, Wisconsin",Career,,,NBA,16,0,6.9,0.8,1.8,.448,0.2,0.5,.375,1.1,0.2,1.3,1.8,0.0,0.0,,0.8,1.8,.448,.448,0.5,0.6,0.1,0.1,0.6
Travis Grant,1973,1976,,6-7,215,"January 1, 1950",Kentucky State University,Career,,,TOT,201,,21.4,5.9,11.2,.524,2.0,2.4,.811,4.1,1.0,2.0,13.8,0.0,0.0,.333,5.9,11.2,.525,.525,1.7,2.9,0.6,0.3,1.6
Donte Grantham,2019,2019,,6-8,215,"March 19, 1995",Clemson,Career,,,NBA,3,0,0.7,0.0,0.7,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.7,.000,0.0,0.0,,.000,0.0,0.0,0.0,0.0,0.0
