player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,pf_per_g,pts_per_g,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,orb_per_g,drb_per_g,stl_per_g,blk_per_g,tov_per_g
Bill Gabor,1950,1955,,5-11,170,"May 13, 1922",Syracuse,Career,,,NBA,307,,19.4,3.5,10.2,.344,2.7,3.7,.737,1.8,2.0,3.4,9.8,,,,,,,,,,,,
Wenyen Gabriel,2020,2021,,6-9,205,"March 26, 1997",Kentucky,Career,,,NBA,51,1,9.3,0.9,2.1,.417,0.5,0.8,.667,2.1,0.4,1.4,2.6,0.4,1.0,.365,0.5,1.1,.464,.505,0.8,1.3,0.4,0.3,0.6
Dan Gadzuric,2003,2012,,6-11,240,"February 2, 1978",UCLA,Career,,,NBA,527,164,14.8,2.0,4.0,.500,0.7,1.4,.498,4.4,0.4,2.4,4.7,0.0,0.0,.000,2.0,4.0,.501,.500,1.7,2.7,0.5,0.9,0.7
Daniel Gafford,2020,2021,,6-10,234,"October 1, 1998",Arkansas,Career,,,NBA,97,18,14.4,2.6,3.7,.691,1.1,1.7,.619,3.5,0.5,2.0,6.2,0.0,0.0,,2.6,3.7,.691,.691,1.5,2.0,0.4,1.4,0.7
Deng Gai,2006,2006,,6-9,250,"March 22, 1982",Fairfield,Career,,,NBA,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
Elmer Gainer,1948,1950,,6-6,195,"November 22, 1918",DePaul,Career,,,TOT,20,,,0.5,2.2,.227,0.5,0.7,.643,,0.5,1.8,1.5,,,,,,,,,,,,
Bill Gaines,1969,1969,,6-4,185,"March 10, 1946",East Texas State University,Career,,,ABA,1,,5.0,1.0,2.0,.500,0.0,0.0,,1.0,0.0,0.0,2.0,0.0,0.0,,1.0,2.0,.500,.500,1.0,0.0,,,1.0
Corey Gaines,1989,1995,,6-3,195,"June 1, 1965","UCLA, Loyola Marymount",Career,,,NBA,80,10,12.5,1.2,2.7,.424,0.7,0.9,.736,0.9,3.1,1.2,3.1,0.1,0.6,.229,1.0,2.1,.479,.449,0.2,0.7,0.5,0.1,0.9
Reece Gaines,2004,2006,,6-6,205,"January 7, 1981",Louisville,Career,,,NBA,71,1,8.5,0.7,2.1,.324,0.3,0.5,.606,0.7,0.7,0.6,1.7,0.1,0.4,.269,0.6,1.7,.336,.348,0.1,0.6,0.2,0.0,0.4
Smokey Gaines,1968,1968,,6-1,170,"February 27, 1940",LeMoyne-Owen College,Career,,,ABA,3,,12.0,1.3,5.3,.250,0.3,0.7,.500,3.3,0.0,1.3,3.3,0.3,0.3,1.000,1.0,5.0,.200,.281,,,,,0.0
Sundiata Gaines,2010,2012,,6-1,185,"April 18, 1986",Georgia,Career,,,NBA,113,12,11.6,1.6,4.1,.397,0.9,1.6,.562,1.5,1.8,0.9,4.5,0.4,1.3,.301,1.2,2.8,.442,.445,0.4,1.1,0.7,0.0,0.8
Mike Gale,1972,1982,,6-4,185,"July 18, 1950",Elizabeth City State University,Career,,,TOT,842,70,24.5,3.1,6.7,.464,1.1,1.5,.781,2.9,3.7,2.3,7.4,0.0,0.1,.187,3.1,6.6,.469,.466,0.8,2.1,1.8,0.5,1.7
Chad Gallagher,1994,1994,,6-10,255,"May 30, 1969",Creighton,Career,,,NBA,2,0,1.5,1.5,1.5,1.000,0.0,0.0,,0.0,0.0,1.0,3.0,0.0,0.0,,1.5,1.5,1.000,1.000,0.0,0.0,0.0,0.0,0.0
Harry Gallatin*,1949,1958,,6-6,210,"April 26, 1927",Truman State University,Career,,,TOT,682,,31.9,4.1,10.3,.398,4.7,6.1,.773,11.9,1.8,3.1,13.0,,,,,,,,,,,,
Gene Gallette,1947,1947,,6-2,205,"February 22, 1919",,Career,,,BAA,14,,,0.1,0.8,.091,0.4,0.6,.667,,0.1,0.9,0.6,,,,,,,,,,,,
Danilo Gallinari,2009,2021,,6-10,233,"August 8, 1988",,Career,,,NBA,662,545,30.4,4.8,11.3,.427,4.3,4.9,.876,4.8,2.0,1.8,15.9,2.0,5.2,.382,2.8,6.1,.465,.515,0.7,4.1,0.8,0.4,1.3
Langston Galloway,2015,2021,,6-1,200,"December 9, 1991",Saint Joseph's,Career,,,NBA,445,62,21.9,2.9,7.3,.398,0.9,1.1,.816,2.4,1.6,1.6,8.2,1.4,3.9,.370,1.5,3.5,.430,.496,0.5,2.0,0.7,0.1,0.6
Dave Gambee,1959,1970,,6-6,215,"April 16, 1937",Oregon State,Career,,,NBA,750,,19.6,3.8,8.9,.420,3.1,3.7,.822,5.2,1.0,2.9,10.6,,,,,,,,,,,,
Kevin Gamble,1988,1997,,6-5,210,"November 13, 1965",Iowa,Career,,,NBA,649,270,22.4,3.9,7.9,.502,1.2,1.5,.810,2.2,2.0,1.9,9.5,0.4,1.0,.360,3.6,6.9,.522,.524,0.6,1.7,0.7,0.3,0.9
Bob Gantt,1947,1947,,6-4,205,"June 22, 1922",Duke,Career,,,BAA,23,,,1.3,3.9,.326,0.6,1.2,.464,,0.2,2.0,3.1,,,,,,,,,,,,
Jorge Garbajosa,2007,2008,,6-9,245,"December 19, 1977",,Career,,,NBA,74,60,26.8,3.1,7.5,.415,0.8,1.1,.731,4.7,1.7,1.2,8.0,1.0,2.8,.344,2.1,4.7,.458,.480,0.7,4.0,1.1,0.2,0.9
Rubén Garcés,2001,2001,,6-9,245,"October 17, 1973",Providence,Career,,,NBA,13,0,5.6,0.5,1.7,.318,0.2,0.6,.250,2.2,0.4,1.1,1.2,0.0,0.0,,0.5,1.7,.318,.318,1.2,1.0,0.2,0.2,0.4
Alex Garcia,2004,2005,,6-3,220,"March 4, 1980",,Career,,,NBA,10,3,15.9,1.9,5.9,.322,0.4,0.6,.667,1.5,1.8,1.5,4.7,0.5,1.8,.278,1.4,4.1,.341,.364,0.7,0.8,0.6,0.1,0.9
Francisco García,2006,2015,,6-7,195,"December 31, 1981",Louisville,Career,,,NBA,549,137,21.6,2.8,6.7,.427,1.1,1.4,.799,2.6,1.4,2.2,7.9,1.1,3.0,.357,1.8,3.7,.484,.507,0.5,2.0,0.8,0.7,1.0
Chuck Gardner,1968,1968,,6-8,205,"September 30, 1944",Colorado,Career,,,ABA,42,,11.6,1.7,4.2,.406,1.3,1.9,.696,3.2,0.3,1.8,4.7,0.0,0.1,.000,1.7,4.1,.415,.406,,,,,1.2
Earl Gardner,1949,1949,,6-3,195,"September 18, 1923",DePauw University,Career,,,BAA,50,,,0.8,2.0,.376,0.3,0.6,.464,,0.4,1.0,1.8,,,,,,,,,,,,
Kenneth Gardner,1976,1976,,6-5,205,"September 27, 1949",Utah,Career,,,ABA,9,,5.7,0.7,2.0,.333,0.2,0.2,1.000,1.4,0.3,1.0,1.6,0.0,0.0,,0.7,2.0,.333,.333,0.9,0.6,0.2,0.1,0.1
Thomas Gardner,2008,2009,,6-5,225,"February 8, 1985",Missouri,Career,,,NBA,20,0,7.2,0.9,3.0,.305,0.1,0.3,.333,0.6,0.2,0.4,2.3,0.4,1.8,.200,0.6,1.2,.458,.364,0.2,0.4,0.2,0.1,0.4
Vern Gardner,1950,1952,,6-5,200,"May 14, 1925",Utah,Career,,,NBA,151,,18.8,3.4,9.9,.344,2.1,2.8,.748,4.0,1.6,2.9,8.9,,,,,,,,,,,,
Jack Garfinkel,1947,1949,,6-0,190,"June 13, 1918",St. John's,Career,,,BAA,92,,,2.3,8.2,.275,0.7,1.0,.705,,1.5,1.7,5.2,,,,,,,,,,,,
Patricio Garino,2017,2017,,6-6,210,"May 17, 1993",George Washington,Career,,,NBA,5,0,8.6,0.0,1.4,.000,0.0,0.0,,1.4,0.0,0.8,0.0,0.0,1.0,.000,0.0,0.4,.000,.000,0.2,1.2,0.0,0.0,0.6
Darius Garland,2020,2021,,6-1,192,"January 26, 2000",Vanderbilt,Career,,,NBA,113,109,32.0,5.7,13.3,.428,1.5,1.8,.858,2.1,4.9,1.8,14.8,1.9,5.0,.374,3.8,8.3,.460,.498,0.4,1.7,1.0,0.1,2.8
Gary Garland,1980,1980,,6-4,180,"October 12, 1957",DePaul,Career,,,NBA,78,,14.2,2.0,4.6,.435,0.2,0.3,.692,1.8,1.9,1.0,4.3,0.1,0.2,.316,1.9,4.3,.442,.444,0.6,1.1,0.7,0.1,0.9
Winston Garland,1988,1995,,6-2,170,"December 19, 1964",Missouri State University,Career,,,NBA,511,315,26.2,3.7,8.7,.430,1.8,2.1,.830,2.8,4.7,2.4,9.4,0.1,0.5,.281,3.6,8.2,.440,.438,0.8,2.0,1.3,0.2,1.9
Dick Garmaker,1956,1961,,6-3,200,"October 29, 1932",Minnesota,Career,,,NBA,421,,28.9,4.8,11.9,.403,3.7,4.7,.787,4.2,2.6,2.8,13.3,,,,,,,,,,,,
Bill Garner,1968,1968,,6-10,220,"June 17, 1940",University of Portland,Career,,,ABA,53,,9.7,0.5,1.9,.272,0.5,0.9,.500,2.2,0.5,1.9,1.5,0.0,0.0,.000,0.5,1.9,.275,.272,,,,,0.9
Chris Garner,1998,2001,,5-10,156,"February 2, 1975",Memphis,Career,,,NBA,46,0,9.6,0.7,2.3,.280,0.2,0.3,.615,0.8,1.4,1.5,1.6,0.1,0.5,.190,0.6,1.9,.302,.299,0.2,0.6,0.6,0.1,0.7
Bill Garnett,1983,1986,,6-9,225,"April 22, 1960",Wyoming,Career,,,NBA,300,62,17.5,1.9,3.9,.490,1.6,2.3,.720,4.3,1.3,2.8,5.5,0.0,0.0,.000,1.9,3.9,.494,.490,1.6,2.8,0.5,0.6,1.1
Kevin Garnett*,1996,2016,,6-11,240,"May 19, 1976",,Career,,,NBA,1462,1425,34.5,7.2,14.5,.497,3.3,4.2,.789,10.0,3.7,2.4,17.8,0.1,0.4,.275,7.1,14.0,.504,.501,2.2,7.8,1.3,1.4,2.2
Marlon Garnett,1999,1999,,6-2,186,"July 3, 1975",Santa Clara,Career,,,NBA,24,0,8.5,0.6,2.1,.294,0.6,0.8,.750,0.9,0.8,0.8,2.1,0.3,1.0,.261,0.4,1.2,.321,.353,0.1,0.8,0.2,0.0,0.5
Billy Garrett,2019,2019,,6-6,213,"October 16, 1994",DePaul,Career,,,NBA,4,0,15.8,2.8,6.8,.407,1.0,1.0,1.000,0.8,1.8,0.8,6.5,0.0,2.0,.000,2.8,4.8,.579,.407,0.0,0.8,0.3,0.3,0.5
Calvin Garrett,1981,1984,,6-7,190,"July 11, 1956","Austin Peay State University, Oral Roberts",Career,,,NBA,166,22,18.1,2.3,4.9,.457,0.6,0.8,.767,2.6,1.5,2.0,5.2,0.0,0.1,.300,2.2,4.8,.461,.461,0.8,1.8,0.6,0.1,1.0
Dean Garrett,1997,2002,,6-10,225,"November 27, 1966",Indiana,Career,,,NBA,359,210,19.4,2.0,4.2,.480,0.8,1.2,.677,5.0,0.6,1.9,4.8,0.0,0.0,,2.0,4.2,.480,.480,1.7,3.4,0.5,1.0,0.6
Diante Garrett,2013,2014,,6-4,190,"November 3, 1988",Iowa State,Career,,,NBA,90,0,13.3,1.3,3.5,.373,0.2,0.2,.682,1.2,1.7,0.9,3.2,0.4,1.2,.351,0.9,2.3,.384,.435,0.2,1.1,0.6,0.1,1.0
Dick Garrett,1970,1974,,6-3,185,"January 31, 1947",Southern Illinois,Career,,,NBA,339,,25.7,4.2,10.0,.423,1.8,2.1,.863,3.0,2.5,3.0,10.3,,,,,,,,0.4,0.6,0.3,0.0,
Rowland Garrett,1973,1977,,6-6,210,"July 16, 1950",Florida State,Career,,,NBA,263,,11.0,2.1,4.8,.441,0.8,1.0,.772,2.3,0.4,1.3,5.1,,,,,,,,0.8,1.5,0.3,0.2,
Tom Garrick,1989,1992,,6-2,185,"July 7, 1966",Rhode Island,Career,,,NBA,251,47,18.8,2.2,4.6,.469,1.1,1.4,.775,2.0,3.4,1.8,5.4,0.0,0.2,.083,2.1,4.4,.490,.471,0.5,1.5,1.1,0.1,1.4
John Garris,1984,1984,,6-8,205,"June 6, 1959","Michigan, Boston College",Career,,,NBA,33,1,8.1,1.6,3.1,.510,0.8,1.0,.794,2.3,0.3,1.2,4.0,0.0,0.0,,1.6,3.1,.510,.510,1.1,1.3,0.2,0.2,0.3
Kiwane Garris,1998,2000,,6-2,183,"September 24, 1974",Illinois,Career,,,NBA,31,0,8.0,0.8,2.4,.320,0.6,0.8,.760,0.6,1.0,0.7,2.3,0.2,0.5,.333,0.6,1.9,.317,.353,0.1,0.5,0.2,0.0,0.5
Pat Garrity,1999,2008,,6-9,238,"August 23, 1976",Notre Dame,Career,,,NBA,552,107,20.0,2.7,6.4,.417,0.8,1.0,.806,2.6,0.8,2.3,7.3,1.1,2.9,.398,1.5,3.5,.434,.506,0.6,2.0,0.4,0.2,0.8
Jim Garvin,1974,1974,,6-7,200,"February 5, 1950",Boston University,Career,,,NBA,6,,1.8,0.2,0.7,.250,0.0,0.0,,0.8,0.0,0.2,0.3,,,,,,,,0.2,0.7,0.0,0.0,
Marc Gasol,2009,2021,,6-11,255,"January 29, 1985",,Career,,,NBA,891,866,32.2,5.2,10.8,.481,3.2,4.1,.776,7.4,3.4,2.9,14.0,0.5,1.3,.360,4.7,9.5,.498,.503,1.6,5.8,0.9,1.4,2.0
Pau Gasol,2002,2019,,7-0,250,"July 6, 1980",,Career,,,NBA,1226,1150,33.4,6.5,12.8,.507,3.9,5.1,.753,9.2,3.2,2.1,17.0,0.1,0.4,.368,6.4,12.4,.512,.513,2.5,6.7,0.5,1.6,2.2
Frank Gates,1950,1950,,6-0,160,"April 12, 1920",Sam Houston State University,Career,,,NBA,64,,,1.8,6.3,.281,1.0,1.5,.622,,1.4,2.3,4.5,,,,,,,,,,,,
Chris Gatling,1992,2002,,6-10,220,"September 3, 1967",Old Dominion,Career,,,NBA,700,86,19.7,4.0,7.8,.513,2.2,3.4,.660,5.3,0.7,2.7,10.3,0.1,0.3,.249,3.9,7.5,.523,.517,1.8,3.6,0.7,0.5,1.5
Kenny Gattison,1987,1996,,6-8,225,"May 23, 1964",Old Dominion,Career,,,NBA,494,130,20.1,3.1,6.0,.520,1.7,2.6,.649,4.7,0.9,2.9,7.9,0.0,0.0,.083,3.1,6.0,.521,.520,1.5,3.2,0.6,0.7,1.2
Rudy Gay,2007,2021,,6-8,250,"August 17, 1986",UConn,Career,,,NBA,1009,778,32.4,6.3,14.0,.454,3.0,3.7,.799,5.8,2.1,2.3,16.8,1.1,3.1,.350,5.3,10.9,.483,.492,1.3,4.5,1.2,0.8,2.1
Ed Gayda,1951,1951,,6-4,210,"May 16, 1927",Washington State,Career,,,NBA,15,,,1.3,3.1,.413,1.2,1.6,.750,2.6,0.9,2.3,3.7,,,,,,,,,,,,
Andrew Gaze,1994,1999,,6-7,205,"July 24, 1965",Seton Hall,Career,,,NBA,26,0,4.9,0.6,1.6,.381,0.1,0.1,1.000,0.5,0.4,0.6,1.7,0.3,0.9,.375,0.3,0.7,.389,.488,0.1,0.3,0.2,0.1,0.3
Michael Gbinije,2017,2017,,6-7,200,"June 5, 1992","Duke, Syracuse",Career,,,NBA,9,0,3.6,0.1,1.1,.100,0.2,0.2,1.000,0.3,0.2,0.2,0.4,0.0,0.4,.000,0.1,0.7,.167,.100,0.2,0.1,0.0,0.0,0.0
Reggie Geary,1997,1998,,6-2,187,"August 31, 1973",Arizona,Career,,,NBA,101,2,9.2,0.8,2.2,.344,0.3,0.7,.493,0.8,1.1,1.3,2.1,0.2,0.6,.328,0.6,1.6,.349,.388,0.2,0.6,0.5,0.1,0.6
Alonzo Gee,2010,2017,,6-6,225,"May 29, 1987",Alabama,Career,,,NBA,417,213,21.8,2.4,5.5,.434,1.4,1.8,.754,3.3,1.1,1.9,6.6,0.4,1.4,.325,2.0,4.2,.469,.474,0.9,2.3,0.9,0.2,1.1
Matt Geiger,1993,2002,,7-0,243,"September 10, 1969","Auburn, Georgia Tech",Career,,,NBA,552,214,22.1,3.7,7.4,.499,1.7,2.4,.728,5.7,0.7,3.0,9.2,0.0,0.1,.232,3.7,7.3,.504,.501,2.1,3.6,0.6,0.6,1.3
Mickaël Gelabale,2007,2013,,6-7,215,"May 22, 1983",,Career,,,NBA,145,27,16.2,1.8,3.9,.470,0.7,0.9,.815,2.3,0.8,1.3,4.6,0.3,0.9,.316,1.5,2.9,.519,.508,0.7,1.5,0.3,0.2,0.6
Devean George,2000,2010,,6-8,220,"August 29, 1977",Augsburg College,Career,,,NBA,630,108,18.5,2.1,5.3,.392,0.8,1.0,.721,3.1,0.9,2.0,5.6,0.7,2.0,.343,1.4,3.4,.421,.456,0.9,2.3,0.7,0.4,0.7
Jack George,1954,1961,,6-2,190,"November 13, 1928",La Salle,Career,,,NBA,506,,31.3,3.8,10.3,.364,2.7,3.8,.704,4.2,4.3,2.5,10.2,,,,,,,,,,,,
Paul George,2011,2021,,6-8,220,"May 2, 1990",Fresno State,Career,,,NBA,706,658,33.5,6.9,15.7,.436,4.0,4.7,.847,6.4,3.5,2.7,20.2,2.5,6.5,.384,4.4,9.2,.473,.516,0.9,5.5,1.7,0.4,2.6
Tate George,1991,1995,,6-5,190,"May 29, 1968",UConn,Career,,,NBA,177,14,11.4,1.7,4.1,.414,0.8,1.0,.820,1.0,1.8,1.0,4.2,0.0,0.1,.071,1.7,4.0,.421,.415,0.4,0.6,0.4,0.1,0.9
Marcus Georges-Hunt,2017,2018,,6-5,216,"March 28, 1994",Georgia Tech,Career,,,NBA,47,0,5.8,0.5,1.2,.418,0.5,0.7,.710,0.5,0.2,0.8,1.6,0.1,0.4,.294,0.4,0.8,.474,.464,0.2,0.4,0.1,0.0,0.1
Gus Gerard,1975,1981,,6-8,200,"July 27, 1953",Virginia,Career,,,TOT,446,,17.8,3.5,7.9,.438,1.5,2.2,.696,4.1,1.3,2.2,8.4,0.0,0.1,.273,3.4,7.8,.439,.439,1.6,2.5,0.6,0.7,1.5
Derrick Gervin,1990,1991,,6-8,200,"March 28, 1963",Texas-San Antonio,Career,,,NBA,77,4,14.1,3.3,7.7,.435,2.0,2.6,.764,2.3,0.5,1.8,8.8,0.1,0.4,.226,3.2,7.3,.446,.441,0.9,1.4,0.5,0.3,0.7
George Gervin*,1973,1986,,6-7,180,"April 27, 1952",Eastern Michigan,Career,,,TOT,1060,377,33.6,9.8,19.4,.504,5.4,6.4,.841,5.3,2.6,3.1,25.1,0.1,0.6,.271,9.7,19.0,.509,.507,1.7,3.6,1.2,1.0,3.0
Gorham Getchell,1947,1947,,6-4,205,"August 14, 1920",Temple,Career,,,BAA,16,,,0.0,0.5,.000,0.3,0.3,1.000,,0.0,0.3,0.3,,,,,,,,,,,,
John Gianelli,1973,1980,,6-10,220,"June 10, 1950",University of the Pacific,Career,,,NBA,541,,25.2,3.3,7.1,.470,1.1,1.6,.702,5.9,1.5,2.3,7.8,0.0,0.0,,3.3,7.1,.470,.470,2.0,4.2,0.5,1.0,1.5
Dick Gibbs,1972,1976,,6-5,210,"December 20, 1948",Texas-El Paso,Career,,,NBA,333,,12.9,2.0,5.0,.402,1.2,1.5,.799,1.9,0.8,1.9,5.2,,,,,,,,0.8,1.1,0.3,0.2,
Daniel Gibson,2007,2013,,6-2,190,"February 27, 1986",Texas,Career,,,NBA,397,77,23.5,2.7,6.7,.402,1.0,1.3,.780,2.0,2.0,2.0,7.8,1.5,3.6,.407,1.2,3.1,.397,.512,0.4,1.6,0.6,0.2,0.9
Dee Gibson,1950,1950,,5-11,175,"August 25, 1923",Western Kentucky,Career,,,NBA,44,,,1.8,5.6,.314,2.9,4.0,.718,,2.9,2.6,6.4,,,,,,,,,,,,
Hoot Gibson,1950,1950,,6-5,198,"December 5, 1921",Creighton,Career,,,NBA,32,,,2.1,6.1,.344,1.3,2.0,.656,,1.2,3.3,5.5,,,,,,,,,,,,
Jonathan Gibson,2017,2018,,6-2,185,"November 8, 1987",New Mexico State,Career,,,NBA,21,0,12.9,2.3,5.6,.415,1.0,1.4,.724,1.2,1.4,1.2,6.7,1.0,2.7,.368,1.3,2.9,.459,.504,0.0,1.1,0.4,0.0,1.1
Mel Gibson,1964,1964,,6-3,180,"December 30, 1940",Western Carolina University,Career,,,NBA,9,,5.9,0.7,2.2,.300,0.1,0.2,.500,0.4,0.7,1.1,1.4,,,,,,,,,,,,
Mike Gibson,1984,1986,,6-10,205,"October 27, 1960",USC Upstate,Career,,,NBA,64,0,6.1,0.6,1.7,.387,0.3,0.4,.679,1.7,0.2,1.0,1.6,0.0,0.0,,0.6,1.7,.387,.387,0.7,1.0,0.2,0.2,0.3
Taj Gibson,2010,2021,,6-9,232,"June 24, 1985",USC,Career,,,NBA,844,443,24.9,3.9,7.5,.518,1.5,2.2,.710,6.2,1.0,2.5,9.3,0.0,0.2,.218,3.8,7.3,.524,.520,2.3,3.9,0.6,1.1,1.1
J.R. Giddens,2009,2010,,6-5,215,"February 13, 1985","Kansas, New Mexico",Career,,,NBA,38,1,6.5,0.8,1.7,.476,0.3,0.6,.565,1.4,0.3,0.8,1.9,0.0,0.3,.000,0.8,1.4,.566,.476,0.5,0.9,0.3,0.1,0.5
Trey Gilder,2010,2010,,6-9,185,"January 24, 1985","McNeese State University, Northwestern State University",Career,,,NBA,2,0,2.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.0,0.0,1.0,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.5,0.5,0.0,0.0
Harry Giles,2019,2021,,6-11,240,"April 22, 1998",Duke,Career,,,NBA,142,17,12.9,2.5,4.9,.511,0.8,1.2,.671,3.8,1.2,2.3,5.9,0.1,0.2,.258,2.5,4.7,.523,.517,1.0,2.8,0.4,0.4,1.0
Shai Gilgeous-Alexander,2019,2021,,6-6,180,"July 12, 1998",Kentucky,Career,,,NBA,187,178,30.9,5.9,12.3,.482,3.4,4.2,.805,4.3,3.8,1.9,16.3,1.1,3.0,.373,4.8,9.3,.517,.527,0.7,3.7,1.1,0.6,2.0
Anthony Gill,2021,2021,,6-7,230,"October 17, 1992","South Carolina, Virginia",Career,,,NBA,26,4,8.4,1.2,2.3,.500,0.5,0.6,.813,2.0,0.4,1.0,3.1,0.3,0.9,.292,0.9,1.4,.639,.558,0.6,1.3,0.4,0.2,0.3
Eddie Gill,2001,2009,,6-0,190,"August 16, 1978",Weber State,Career,,,NBA,187,9,10.9,1.0,2.7,.361,0.8,0.9,.847,1.1,1.2,1.1,3.1,0.3,1.1,.320,0.6,1.6,.388,.424,0.1,1.0,0.6,0.1,0.7
Kendall Gill,1991,2005,,6-5,195,"May 25, 1968",Illinois,Career,,,NBA,966,791,30.5,5.2,12.1,.434,2.5,3.4,.754,4.1,3.0,2.6,13.4,0.3,1.1,.300,4.9,11.0,.448,.448,1.3,2.8,1.6,0.4,1.8
Ben Gillery,1989,1989,,7-0,235,"September 19, 1965",Georgetown,Career,,,NBA,24,0,3.5,0.3,0.8,.316,0.5,1.0,.565,1.0,0.1,1.2,1.0,0.0,0.0,,0.3,0.8,.316,.316,0.3,0.7,0.1,0.2,0.2
Freddie Gillespie,2021,2021,,6-9,245,"June 14, 1997","Carleton College, Baylor",Career,,,NBA,20,2,19.6,2.2,4.2,.524,1.2,1.7,.697,4.9,0.5,2.2,5.6,0.0,0.0,,2.2,4.2,.524,.524,2.1,2.8,0.7,1.0,0.6
Jack Gillespie,1970,1970,,6-6,215,"October 1, 1947",Montana State,Career,,,ABA,2,,13.5,0.0,2.5,.000,1.0,1.0,1.000,3.5,0.0,1.5,1.0,0.0,0.0,,0.0,2.5,.000,.000,1.0,2.5,,,0.0
Armen Gilliam,1988,2000,,6-9,230,"May 28, 1964",UNLV,Career,,,NBA,929,527,28.4,5.2,10.7,.489,3.3,4.2,.776,6.9,1.2,2.2,13.7,0.0,0.0,.000,5.2,10.6,.490,.489,2.3,4.6,0.7,0.7,1.9
Herm Gilliam,1970,1977,,6-3,190,"May 5, 1946",Purdue,Career,,,NBA,578,,26.0,4.7,10.6,.441,1.5,1.9,.792,3.8,3.8,2.6,10.8,,,,,,,,0.9,2.2,1.3,0.2,
Artis Gilmore*,1972,1988,,7-2,240,"September 21, 1949","Gardner-Webb University, Jacksonville University",Career,,,TOT,1329,476,35.5,7.1,12.2,.582,4.6,6.6,.698,12.3,2.3,3.4,18.8,0.0,0.0,.150,7.1,12.1,.582,.582,3.6,8.7,0.6,2.4,3.1
Walt Gilmore,1971,1971,,6-6,225,"February 27, 1947",Fort Valley State University,Career,,,NBA,27,,9.7,0.9,2.0,.426,0.4,1.0,.462,2.7,0.4,1.8,2.1,,,,,,,,,,,,
Chuck Gilmur,1947,1951,,6-4,225,"August 13, 1922",Washington,Career,,,TOT,239,,,2.1,6.6,.325,1.5,2.5,.609,4.7,1.5,3.7,5.8,,,,,,,,,,,,
Manu Ginóbili,2003,2018,,6-6,205,"July 28, 1977",,Career,,,NBA,1057,349,25.4,4.3,9.7,.447,3.2,3.9,.827,3.5,3.8,2.1,13.3,1.4,3.8,.369,2.9,5.9,.498,.520,0.6,2.8,1.3,0.3,2.0
Gordan Giriček,2003,2008,,6-6,210,"June 20, 1977",,Career,,,NBA,384,191,23.0,3.7,8.4,.442,1.4,1.7,.823,2.5,1.5,2.0,9.6,0.8,2.0,.368,3.0,6.4,.465,.486,0.4,2.0,0.6,0.1,1.3
Jack Givens,1979,1980,,6-5,205,"September 21, 1956",Kentucky,Career,,,NBA,156,,16.7,2.7,6.6,.401,1.3,1.7,.791,2.9,0.9,1.6,6.7,0.0,0.0,.000,2.7,6.6,.402,.401,1.4,1.6,0.8,0.2,0.9
Mickell Gladness,2012,2012,,6-11,220,"July 26, 1986",Alabama A&M University,Career,,,NBA,26,7,9.7,1.0,2.3,.424,0.2,0.5,.500,2.2,0.2,1.2,2.2,0.0,0.0,,1.0,2.3,.424,.424,0.5,1.7,0.2,0.8,0.3
George Glamack,1949,1949,,6-6,225,"June 7, 1918",UNC,Career,,,BAA,11,,,2.7,11.0,.248,3.8,5.0,.764,,1.7,2.5,9.3,,,,,,,,,,,,
Gerald Glass,1991,1996,,6-5,221,"November 12, 1967","Delta State University, Ole Miss",Career,,,NBA,201,49,16.7,3.4,7.9,.433,0.8,1.2,.643,2.5,1.5,1.8,7.7,0.1,0.5,.236,3.3,7.3,.448,.442,1.1,1.4,0.6,0.3,0.9
Mike Glenn,1978,1987,,6-2,175,"September 10, 1955",Southern Illinois,Career,,,NBA,593,10,16.2,3.3,6.1,.542,1.0,1.1,.855,1.2,1.6,1.5,7.6,0.0,0.1,.286,3.3,6.0,.544,.543,0.3,0.9,0.5,0.1,0.7
Normie Glick,1950,1950,,6-7,190,"November 10, 1927",Loyola Marymount,Career,,,NBA,1,,,1.0,1.0,1.000,0.0,0.0,,,0.0,1.0,2.0,,,,,,,,,,,,
Georgi Glouchkov,1986,1986,,6-8,235,"January 10, 1960",,Career,,,NBA,49,16,15.8,1.7,4.3,.402,1.4,2.5,.574,3.3,0.7,2.5,4.9,0.0,0.0,1.000,1.7,4.2,.399,.404,0.6,2.7,0.5,0.5,1.6
