Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Matthew Dellavedova,33.4,,,,,,,,,,,,,,,,,,,,Starter,0.336,0.286,0.643,0.143,0.0,3.7,1.5,23.3,1.6,0.0,16.8,23.5,69,117,-5.0,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,3.0,14.0,0.214,2.0,9.0,0.222,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,2.0,10.0,-12.0
J.R. Smith,27.566666666666666,,,,,,,,,,,,,,,,,,,,Reserve,0.167,0.167,0.667,0.0,3.2,4.5,3.7,13.6,0.0,0.0,0.0,19.1,51,120,-12.6,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,2.0,12.0,0.167,0.0,8.0,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,-27.0
James Jones,17.85,,,,,,,,,,,,,,,,,,,,Reserve,0.0,0.0,0.333,0.0,0.0,20.7,8.7,0.0,0.0,5.7,25.0,9.8,0,113,-11.7,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,-15.0
Kendrick Perkins,3.1,,,,,,,,,,,,,,,,,,,,Reserve,0.347,0.0,0.0,1.0,0.0,39.7,16.6,0.0,0.0,0.0,0.0,40.8,87,113,-9.0,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.0
Joe Harris,3.1,,,,,,,,,,,,,,,,,,,,Reserve,0.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,122,122,-0.6,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0
Mike Miller,3.1,,,,,,,,,,,,,,,,,,,,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-6.0,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
LeBron James,44.766666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.527,0.485,0.235,0.265,2.6,36.7,18.8,74.1,1.2,0.0,5.0,42.7,119,112,13.7,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,15.0,34.0,0.441,3.0,8.0,0.375,7.0,9.0,0.778,1.0,13.0,14.0,11.0,1.0,0.0,2.0,5.0,40.0,-11.0
Matthew Dellavedova,41.68333333333333,,,,,,,,,,,,,,,,,,,,Starter,0.278,0.278,0.556,0.0,0.0,0.0,0.0,7.8,3.9,0.0,18.2,12.6,57,117,-8.3,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,2.0,9.0,0.222,1.0,5.0,0.2,0.0,0.0,,0.0,0.0,0.0,2.0,3.0,0.0,2.0,4.0,5.0,-19.0
Tristan Thompson,39.81666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.617,0.545,0.0,0.909,14.4,15.9,15.1,0.0,2.7,4.9,6.1,19.7,131,112,3.6,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,6.0,11.0,0.545,0.0,0.0,,7.0,10.0,0.7,5.0,5.0,10.0,0.0,2.0,2.0,1.0,4.0,19.0,-22.0
Iman Shumpert,37.3,,,,,,,,,,,,,,,,,,,,Starter,0.506,0.5,0.667,0.222,9.2,6.8,8.0,9.1,1.4,0.0,9.2,14.0,112,120,-0.8,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,3.0,9.0,0.333,3.0,6.0,0.5,1.0,2.0,0.5,3.0,2.0,5.0,2.0,1.0,0.0,1.0,4.0,10.0,-10.0
