Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Paul Millsap,20.85,6.0,9.0,0.667,1.0,1.0,1.0,3.0,4.0,0.75,2.0,4.0,6.0,1.0,1.0,0.0,0.0,3.0,16.0,11.0,Starter,0.743,0.722,0.111,0.444,12.8,21.4,17.5,8.5,2.6,0.0,0.0,23.3,166.0,101.0,11.3,201811010CLE,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrey Craig,18.2,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,,4.0,2.0,6.0,1.0,0.0,0.0,1.0,2.0,7.0,1.0,Starter,0.7,0.7,0.4,0.0,29.3,12.3,20.0,8.0,0.0,0.0,16.7,14.9,142.0,111.0,1.7,201811010CLE,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Hernangómez,28.983333333333334,6.0,10.0,0.6,5.0,8.0,0.625,6.0,7.0,0.857,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,23.0,18.0,Reserve,0.879,0.85,0.8,0.7,9.2,7.7,8.4,0.0,1.9,5.1,13.3,23.5,158.0,105.0,15.6,201811010CLE,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Lyles,24.616666666666667,5.0,13.0,0.385,0.0,3.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,1.0,1.0,1.0,2.0,1.0,12.0,10.0,Reserve,0.432,0.385,0.231,0.154,10.8,27.2,19.7,6.2,2.2,3.0,12.6,29.1,96.0,98.0,-5.9,201811010CLE,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Beasley,23.966666666666665,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,5.0,9.0,Reserve,0.313,0.313,0.5,0.0,0.0,0.0,0.0,21.7,0.0,0.0,11.1,17.0,91.0,116.0,-10.0,201811010CLE,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Morris,22.183333333333334,3.0,7.0,0.429,1.0,1.0,1.0,0.0,0.0,,1.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,7.0,5.0,Reserve,0.5,0.5,0.143,0.0,6.0,10.1,8.2,18.8,5.0,0.0,12.5,16.3,117.0,101.0,2.4,201811010CLE,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Plumlee,21.716666666666665,5.0,8.0,0.625,0.0,0.0,,1.0,1.0,1.0,1.0,5.0,6.0,3.0,1.0,1.0,1.0,4.0,11.0,16.0,Reserve,0.652,0.625,0.0,0.125,6.1,25.7,16.8,22.1,2.5,3.4,10.6,19.6,137.0,97.0,6.6,201811010CLE,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Lydon,3.9333333333333336,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-6.0,Reserve,0.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,122.0,116.0,-10.9,201811010CLE,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVaughn Akoon-Purcell,2.533333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,Reserve,,,,,52.6,0.0,24.0,0.0,0.0,0.0,,0.0,223.0,116.0,-4.1,201811010CLE,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Dekker,34.5,3.0,10.0,0.3,0.0,2.0,0.0,0.0,0.0,,3.0,1.0,4.0,1.0,3.0,0.0,2.0,3.0,6.0,-12.0,Starter,0.3,0.3,0.2,0.0,9.7,3.9,7.0,4.7,4.8,0.0,16.7,16.0,70.0,125.0,-9.6,201811010CLE,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
