player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
David Wood,1989,1997,,6-9,227,"November 30, 1964",Nevada,Career,,,NBA,412,31,13.5,1.4,3.1,.449,0.3,0.8,.338,1.1,2.3,.488,.493,0.9,1.1,.785,0.9,1.5,2.4,0.7,0.4,0.2,0.6,2.3,3.9
Howard Wood,1982,1982,,6-7,235,"May 20, 1959",Tennessee,Career,,,NBA,42,3,8.1,1.3,2.9,.458,0.0,0.0,.000,1.3,2.8,.462,.458,0.8,1.2,.654,0.5,1.0,1.5,0.2,0.2,0.1,0.4,0.9,3.4
Leon Wood,1985,1991,,6-3,185,"March 25, 1962","Arizona, Cal State Fullerton",Career,,,NBA,274,19,16.5,2.2,5.6,.392,0.6,1.9,.326,1.6,3.6,.427,.449,1.4,1.7,.792,0.3,0.9,1.2,3.2,0.5,0.0,1.0,1.1,6.4
Robert Woodard,2021,2021,,6-6,235,"September 22, 1999",Mississippi State,Career,,,NBA,13,0,3.5,0.6,1.5,.400,0.1,0.5,.167,0.5,1.1,.500,.425,0.2,0.6,.375,0.3,0.9,1.2,0.2,0.0,0.2,0.1,0.3,1.5
Loren Woods,2002,2008,,7-1,245,"June 21, 1978","Wake Forest, Arizona",Career,,,NBA,215,47,11.3,1.0,2.3,.419,0.0,0.0,.143,1.0,2.3,.423,.420,0.6,1.0,.642,1.2,1.9,3.2,0.3,0.3,0.6,0.6,1.3,2.6
Qyntel Woods,2003,2006,,6-8,221,"February 16, 1981",Northeast Mississippi Community College,Career,,,NBA,167,24,12.3,1.7,3.7,.452,0.2,0.6,.357,1.5,3.1,.470,.481,0.6,0.9,.603,0.6,1.7,2.3,0.6,0.4,0.2,0.8,1.4,4.1
Randy Woods,1993,1996,,5-10,185,"September 23, 1970",La Salle,Career,,,NBA,151,4,7.2,0.8,2.2,.340,0.4,1.2,.305,0.4,1.0,.384,.425,0.5,0.7,.683,0.2,0.4,0.6,1.7,0.6,0.0,0.7,1.1,2.4
Tommy Woods,1968,1968,,6-7,210,"June 10, 1943",East Tennessee State University,Career,,,ABA,18,,10.2,0.8,2.4,.326,0.0,0.1,.000,0.8,2.3,.333,.326,0.8,0.9,.875,,,3.1,0.2,,,0.5,1.4,2.3
Mike Woodson,1981,1991,,6-5,195,"March 24, 1958",Indiana,Career,,,NBA,786,379,25.5,5.6,11.9,.466,0.2,0.6,.271,5.4,11.3,.476,.473,2.7,3.3,.813,0.8,1.5,2.3,2.3,1.2,0.3,1.7,2.3,14.0
Bob Woollard,1970,1970,,6-10,225,"July 27, 1940",Wake Forest,Career,,,ABA,19,,12.3,1.7,4.3,.390,0.0,0.1,.000,1.7,4.3,.395,.390,1.1,1.3,.800,1.3,2.3,3.6,0.3,,,0.8,2.2,4.4
Orlando Woolridge,1982,1994,,6-9,215,"December 16, 1959",Notre Dame,Career,,,NBA,851,485,28.3,6.1,11.8,.513,0.0,0.1,.091,6.0,11.7,.517,.514,3.9,5.3,.737,1.6,2.7,4.3,1.9,0.6,0.7,2.1,2.5,16.0
Haywoode Workman,1990,2000,,6-2,180,"January 23, 1966","Winston-Salem State, Oral Roberts",Career,,,NBA,359,159,20.1,2.1,5.0,.419,0.3,1.0,.323,1.8,3.9,.444,.452,1.0,1.3,.764,0.4,1.9,2.3,3.9,1.0,0.1,1.5,1.9,5.5
Mark Workman,1953,1954,,6-9,215,"March 10, 1930",West Virginia,Career,,,NBA,79,,14.9,2.0,5.9,.331,,,,,,,,1.0,1.6,.618,,,2.9,0.6,,,,2.5,4.9
Tom Workman,1968,1971,,6-7,218,"November 14, 1944",Seattle University,Career,,,TOT,125,,10.5,2.3,5.2,.447,0.0,0.3,.174,2.3,5.0,.457,.450,1.5,1.9,.788,1.2,2.1,2.6,0.6,,,1.4,1.7,6.2
Metta World Peace,2000,2017,,6-6,260,"November 13, 1979",St. John's,Career,,,NBA,991,840,31.7,4.7,11.4,.414,1.2,3.4,.339,3.5,7.9,.447,.465,2.6,3.6,.715,1.2,3.3,4.5,2.7,1.7,0.5,1.8,2.6,13.2
Willie Worsley,1969,1969,,5-9,175,"November 13, 1945",Texas-El Paso,Career,,,ABA,24,,19.2,1.5,5.1,.293,0.4,1.3,.333,1.1,3.9,.280,.333,2.6,3.5,.750,0.3,1.2,1.5,1.6,,,1.3,2.0,6.0
Sam Worthen,1981,1982,,6-5,195,"January 17, 1958",Marquette,Career,,,NBA,69,0,14.0,1.4,2.9,.492,0.0,0.1,.000,1.4,2.8,.503,.492,0.7,0.9,.750,0.3,1.3,1.7,1.7,0.8,0.1,1.3,1.7,3.5
James Worthy*,1983,1994,,6-9,225,"February 27, 1961",UNC,Career,,,NBA,926,717,32.4,7.4,14.3,.521,0.1,0.5,.241,7.3,13.7,.532,.525,2.6,3.4,.769,1.7,3.4,5.1,3.0,1.1,0.7,2.0,2.1,17.6
