Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Georges Niang,1.1333333333333333,,,,,,,,,,,,,,,,,,,,Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,0.0,114.0,-62.9,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kentavious Caldwell-Pope,39.6,,,,,,,,,,,,,,,,,,,,Starter,0.724,0.733,0.467,0.133,0.0,17.7,8.9,19.5,2.6,0.0,11.2,20.1,137.0,106.0,10.4,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,9.0,15.0,0.6,4.0,7.0,0.571,1.0,2.0,0.5,0.0,6.0,6.0,5.0,2.0,0.0,2.0,1.0,23.0,14.0
Andre Drummond,36.1,,,,,,,,,,,,,,,,,,,,Starter,0.578,0.632,0.0,0.316,19.5,38.9,29.2,0.0,2.9,5.2,12.2,30.4,110.0,97.0,3.0,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,12.0,19.0,0.632,0.0,0.0,,1.0,6.0,0.167,6.0,12.0,18.0,0.0,2.0,2.0,3.0,4.0,25.0,0.0
Reggie Jackson,32.65,,,,,,,,,,,,,,,,,,,,Starter,0.703,0.647,0.294,0.294,0.0,7.2,3.6,21.5,1.6,0.0,13.5,30.3,130.0,109.0,8.5,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,10.0,17.0,0.588,2.0,5.0,0.4,5.0,5.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0,27.0,1.0
Marcus Morris,31.333333333333332,,,,,,,,,,,,,,,,,,,,Starter,0.557,0.556,0.333,0.222,0.0,3.7,1.9,4.3,0.0,0.0,9.2,15.5,108.0,113.0,-4.3,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,4.0,9.0,0.444,2.0,3.0,0.667,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,11.0,-5.0
Jon Leuer,27.933333333333334,,,,,,,,,,,,,,,,,,,,Starter,0.25,0.25,0.0,0.0,8.4,4.2,6.3,12.8,0.0,0.0,20.0,8.0,89.0,113.0,-5.2,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0
Tobias Harris,34.86666666666667,,,,,,,,,,,,,,,,,,,,Reserve,0.529,0.423,0.308,0.538,3.4,20.1,11.8,0.0,3.0,5.4,5.9,21.8,111.0,98.0,2.6,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,5.0,13.0,0.385,1.0,4.0,0.25,6.0,7.0,0.857,1.0,6.0,7.0,0.0,2.0,2.0,1.0,2.0,17.0,13.0
Ish Smith,15.35,,,,,,,,,,,,,,,,,,,,Reserve,0.0,0.0,0.286,0.0,0.0,30.5,15.3,14.9,0.0,6.1,0.0,20.3,21.0,103.0,-19.5,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,8.0
Stanley Johnson,12.766666666666667,,,,,,,,,,,,,,,,,,,,Reserve,0.0,0.0,1.0,0.0,0.0,27.5,13.8,9.0,0.0,0.0,0.0,3.5,57.0,111.0,-5.4,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
Aron Baynes,9.4,,,,,,,,,,,,,,,,,,,,Reserve,1.0,1.0,0.0,0.0,12.5,37.4,24.9,0.0,0.0,0.0,50.0,9.5,106.0,110.0,-6.0,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,9.0
Josh Richardson,37.766666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.474,0.462,0.385,0.308,0.0,3.1,1.6,35.5,2.7,0.0,11.9,22.4,100.0,115.0,-2.1,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,5.0,13.0,0.385,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,1.0,8.0,2.0,0.0,2.0,4.0,14.0,-6.0
Wayne Ellington,37.25,,,,,,,,,,,,,,,,,,,,Starter,0.6,0.6,0.533,0.0,0.0,12.6,6.3,14.9,0.0,0.0,0.0,20.4,115.0,119.0,0.2,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,7.0,15.0,0.467,4.0,8.0,0.5,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0
