Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Luc Mbah a Moute,22.433333333333334,5.0,9.0,0.556,0.0,0.0,,3.0,4.0,0.75,3.0,3.0,6.0,0.0,1.0,0.0,1.0,2.0,13.0,-2.0,Starter,0.604,0.556,0.0,0.444,12.8,16.5,14.4,0.0,2.7,0.0,8.5,25.3,118,116,7.8,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Delfino,21.616666666666667,1.0,8.0,0.125,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,-12.0,Starter,0.188,0.188,0.5,0.0,0.0,0.0,0.0,8.6,0.0,0.0,20.0,22.3,36,130,-19.2,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ersan İlyasova,31.133333333333333,4.0,11.0,0.364,0.0,2.0,0.0,5.0,5.0,1.0,6.0,5.0,11.0,1.0,1.0,0.0,0.0,4.0,13.0,-17.0,Reserve,0.492,0.364,0.182,0.455,18.5,19.8,19.1,7.1,1.9,0.0,0.0,20.5,122,115,4.7,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Ridnour,22.283333333333335,1.0,5.0,0.2,1.0,2.0,0.5,3.0,4.0,0.75,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,6.0,-9.0,Reserve,0.444,0.3,0.4,0.8,4.3,11.0,7.3,16.7,0.0,0.0,0.0,14.7,111,125,-1.1,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Stackhouse,14.233333333333333,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,Reserve,0.0,0.0,0.333,0.0,0.0,8.6,3.8,0.0,4.3,0.0,0.0,10.2,0,116,-10.8,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primož Brezec,11.633333333333333,2.0,4.0,0.5,0.0,0.0,,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,Reserve,0.512,0.5,0.0,0.5,8.3,10.6,9.3,0.0,0.0,0.0,0.0,20.3,111,125,-0.2,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Ivey,3.65,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,Reserve,0.333,0.333,0.333,0.0,0.0,0.0,0.0,88.6,0.0,21.9,0.0,39.7,84,120,23.5,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Gadzuric,1.8333333333333335,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-5.0,Reserve,,,,,0.0,67.1,29.4,0.0,0.0,43.6,,0.0,0,73,9.0,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Bibby,41.3,6.0,12.0,0.5,3.0,5.0,0.6,0.0,0.0,,2.0,4.0,6.0,2.0,0.0,0.0,1.0,3.0,15.0,18.0,Starter,0.625,0.625,0.417,0.0,6.0,9.3,7.8,8.0,0.0,0.0,7.7,16.0,136,99,1.9,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Johnson,40.6,4.0,14.0,0.286,0.0,2.0,0.0,0.0,0.0,,1.0,5.0,6.0,4.0,0.0,1.0,1.0,1.0,8.0,16.0,Starter,0.286,0.286,0.143,0.0,3.0,11.8,8.0,15.1,0.0,1.8,6.7,18.8,86,96,-6.5,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
