Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Marcus Morris,18.666666666666668,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,10.0,Starter,0.0,0.0,0.75,0.0,0.0,17.9,9.5,8.0,0.0,0.0,33.3,14.5,12,107,-16.5,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivica Zubac,15.333333333333334,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,-5.0,Starter,0.333,0.333,0.0,0.0,8.2,14.6,11.6,10.8,3.1,6.8,40.0,14.7,62,97,-6.2,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JaMychal Green,28.716666666666665,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,0.0,5.0,8.0,2.0,Reserve,0.667,0.667,0.667,0.0,0.0,15.5,8.3,0.0,0.0,3.6,0.0,9.4,124,106,1.4,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landry Shamet,22.1,1.0,8.0,0.125,0.0,5.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,-19.0,Reserve,0.125,0.125,0.625,0.0,0.0,15.2,8.0,0.0,0.0,0.0,20.0,20.4,20,108,-17.5,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Patterson,21.8,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,Reserve,1.25,1.25,0.5,0.0,0.0,20.5,10.9,16.0,0.0,0.0,0.0,4.1,250,106,8.4,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Beverley,16.1,3.0,7.0,0.429,2.0,3.0,0.667,4.0,5.0,0.8,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,12.0,-9.0,Reserve,0.652,0.571,0.429,0.714,0.0,6.9,3.7,12.9,0.0,0.0,17.9,31.4,108,110,-0.6,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joakim Noah,10.366666666666667,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,2.0,2.0,4.0,1.0,0.0,1.0,0.0,4.0,1.0,-12.0,Reserve,0.568,,,,24.4,21.5,22.9,14.5,0.0,10.1,0.0,3.8,188,100,2.5,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Coffey,5.316666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,Reserve,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,300,113,16.3,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,35.483333333333334,8.0,19.0,0.421,2.0,5.0,0.4,16.0,17.0,0.941,2.0,6.0,8.0,4.0,0.0,0.0,4.0,4.0,34.0,-3.0,Starter,0.642,0.474,0.263,0.895,6.3,21.4,13.4,25.6,0.0,0.0,13.1,36.1,124,105,11.0,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,34.3,6.0,19.0,0.316,2.0,7.0,0.286,2.0,2.0,1.0,2.0,9.0,11.0,7.0,1.0,1.0,5.0,3.0,16.0,-4.0,Starter,0.402,0.368,0.368,0.105,6.5,33.1,19.0,41.5,1.4,3.7,20.1,30.5,83,98,0.4,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
