Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Derrick Favors,20.9,,,,,,,,,,,,,,,,,,,,Starter,0.714,0.714,0.0,0.0,5.3,8.5,7.1,7.3,2.2,4.0,0.0,14.5,145.0,104.0,9.3,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,5.0,7.0,0.714,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,10.0,7.0
Jae Crowder,33.9,,,,,,,,,,,,,,,,,,,,Reserve,0.615,0.65,0.6,0.5,0.0,26.2,14.6,3.9,0.0,0.0,7.6,16.8,109.0,105.0,1.4,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,5.0,10.0,0.5,3.0,6.0,0.5,2.0,5.0,0.4,0.0,10.0,10.0,1.0,0.0,0.0,1.0,3.0,15.0,11.0
Alec Burks,22.25,,,,,,,,,,,,,,,,,,,,Reserve,0.69,0.636,0.182,0.273,0.0,16.0,8.9,46.4,2.1,3.7,19.6,29.8,122.0,101.0,11.8,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,7.0,11.0,0.636,0.0,2.0,0.0,3.0,3.0,1.0,0.0,4.0,4.0,6.0,1.0,1.0,3.0,3.0,17.0,7.0
Dante Exum,17.666666666666668,,,,,,,,,,,,,,,,,,,,Reserve,0.571,0.571,0.429,0.286,6.3,15.1,11.2,15.6,0.0,0.0,20.2,24.2,99.0,109.0,-4.6,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,3.0,7.0,0.429,2.0,3.0,0.667,1.0,2.0,0.5,1.0,3.0,4.0,2.0,0.0,0.0,2.0,5.0,9.0,10.0
Raul Neto,7.616666666666667,,,,,,,,,,,,,,,,,,,,Reserve,0.0,0.0,0.5,0.0,0.0,11.7,6.5,14.7,0.0,0.0,0.0,11.4,34.0,110.0,-12.9,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0
James Harden,36.483333333333334,,,,,,,,,,,,,,,,,,,,Starter,0.577,0.455,0.455,0.591,4.9,12.2,8.1,55.3,2.6,0.0,6.7,34.3,126.0,114.0,12.1,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,9.0,22.0,0.409,2.0,10.0,0.2,12.0,13.0,0.923,2.0,4.0,6.0,11.0,2.0,0.0,2.0,5.0,32.0,0.0
Chris Paul,35.46666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.521,0.474,0.263,0.368,0.0,15.7,7.0,14.9,4.0,0.0,8.3,28.6,101.0,110.0,0.6,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,8.0,19.0,0.421,2.0,5.0,0.4,5.0,7.0,0.714,0.0,5.0,5.0,3.0,3.0,0.0,2.0,5.0,23.0,-3.0
Trevor Ariza,33.3,,,,,,,,,,,,,,,,,,,,Starter,0.5,0.5,0.8,0.0,0.0,13.4,5.9,0.0,1.4,0.0,0.0,6.3,100.0,117.0,-5.7,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,-10.0
P.J. Tucker,33.28333333333333,,,,,,,,,,,,,,,,,,,,Starter,0.278,0.278,0.556,0.0,5.3,26.8,14.9,12.3,1.4,5.7,0.0,11.4,85.0,111.0,-1.6,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,2.0,9.0,0.222,1.0,5.0,0.2,0.0,0.0,,2.0,8.0,10.0,3.0,1.0,2.0,0.0,2.0,5.0,3.0
Clint Capela,30.983333333333334,,,,,,,,,,,,,,,,,,,,Starter,0.661,0.667,0.0,0.133,14.3,21.6,17.6,13.8,1.5,6.1,0.0,21.6,143.0,110.0,8.4,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,10.0,15.0,0.667,0.0,0.0,,1.0,2.0,0.5,5.0,6.0,11.0,2.0,1.0,2.0,0.0,4.0,21.0,4.0
