Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Kobe Bryant,40.266666666666666,11.0,25.0,0.44,4.0,9.0,0.444,5.0,10.0,0.5,1.0,2.0,3.0,8.0,0.0,0.0,4.0,5.0,31.0,-3.0,Starter,0.527,0.52,0.36,0.4,3.4,11.4,6.4,35.5,0.0,0.0,12.0,38.9,112,131,3.6,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau Gasol,39.78333333333333,9.0,11.0,0.818,0.0,0.0,,5.0,6.0,0.833,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,23.0,1.0,Starter,0.843,0.818,0.0,0.545,3.4,11.5,6.5,4.1,1.4,4.8,6.8,17.2,163,124,10.6,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Fisher,32.05,4.0,9.0,0.444,1.0,4.0,0.25,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,9.0,-5.0,Starter,0.5,0.5,0.444,0.0,4.3,14.3,8.0,8.8,1.7,0.0,0.0,13.2,125,127,1.1,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Bynum,23.333333333333332,2.0,6.0,0.333,0.0,0.0,,0.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,4.0,-3.0,Starter,0.311,0.333,0.0,0.167,11.8,19.6,14.7,5.7,2.4,0.0,13.4,14.9,81,125,-6.3,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Odom,32.38333333333333,4.0,6.0,0.667,0.0,0.0,,3.0,5.0,0.6,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,11.0,-6.0,Reserve,0.671,0.667,0.0,0.833,4.2,7.1,5.3,4.4,1.7,3.0,19.6,14.8,116,125,0.2,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Farmar,15.95,4.0,6.0,0.667,1.0,3.0,0.333,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,11.0,1.0,Reserve,0.799,0.75,0.5,0.333,8.6,28.7,16.1,0.0,0.0,0.0,22.5,26.1,125,130,4.5,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Walton,11.266666666666667,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,-4.0,Reserve,1.0,1.0,0.0,0.0,12.2,20.3,15.2,23.8,0.0,0.0,66.7,12.5,94,130,-5.0,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha Vujačić,3.1666666666666665,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0,132,-25.7,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didier Ilunga-Mbenga,0.2833333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,133,-2.9,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Howard,43.083333333333336,5.0,6.0,0.833,0.0,0.0,,11.0,16.0,0.688,2.0,12.0,14.0,2.0,1.0,2.0,1.0,4.0,21.0,5.0,Starter,0.805,0.833,0.0,2.667,10.6,38.2,27.9,6.5,1.3,4.1,7.1,17.3,161,113,8.2,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedo Türkoğlu,42.233333333333334,7.0,12.0,0.583,1.0,3.0,0.333,3.0,4.0,0.75,1.0,5.0,6.0,7.0,1.0,0.0,1.0,3.0,18.0,2.0,Starter,0.654,0.625,0.25,0.333,5.4,16.2,12.2,24.8,1.3,0.0,6.8,18.6,142,121,5.3,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashard Lewis,41.483333333333334,8.0,14.0,0.571,3.0,6.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,5.0,0.0,0.0,3.0,4.0,21.0,5.0,Starter,0.706,0.679,0.429,0.143,5.5,13.2,10.3,18.8,0.0,0.0,16.8,22.9,127,125,2.6,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafer Alston,36.733333333333334,8.0,12.0,0.667,1.0,1.0,1.0,3.0,4.0,0.75,0.0,2.0,2.0,4.0,0.0,0.0,3.0,1.0,20.0,0.0,Starter,0.727,0.708,0.083,0.333,0.0,7.5,4.7,17.7,0.0,0.0,17.9,24.3,125,127,-0.5,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
